C,MC,SCP_UID,date,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,REP,FAI,GNDVI,NDVI-B8A,VB-FAH,SEI,SABI
Ws,W,20191002_152800402755_842,20190304,0.257,0.3228,0.3448,0.1406,0.0971,0.0384,0.0404,0.037,0.0363,0.0379,0.0359,0.0302,-0.5833333,703.2952,-0.08402109,-0.80618125,-0.5895986,-0.18242119,0.015089164,-0.15518273
Ws,W,20191003_102129938476_722,20190304,0.2628,0.3208,0.3526,0.1566,0.1143,0.0413,0.0427,0.036,0.0393,0.0387,0.0376,0.0331,-0.62616825,701.7047,-0.09834699,-0.81471956,-0.5987749,-0.19625601,-0.021739146,-0.17909117
Ws,W,20191002_152559080393_893,20190304,0.0447,0.0608,0.0791,0.0419,0.0427,0.0387,0.0424,0.037,0.0415,0.0374,0.0375,0.0331,-0.06210394,704.7635,-0.0040772,-0.36261842,-0.0047962,-0.0192592,-0.006711423,-0.035025027
Ws,W,20191002_152559080393_893,20190304,0.0508,0.0728,0.1012,0.0503,0.0484,0.0406,0.0453,0.0401,0.0433,0.0408,0.0409,0.0344,-0.11283184,704.76404,-0.008442197,-0.4324133,-0.07478632,-0.029847398,-0.009876526,-0.058620676
Ws,W,20191003_102129938476_722,20190304,0.2593,0.3234,0.3454,0.1514,0.1093,0.0419,0.0433,0.0396,0.0395,0.0386,0.0384,0.0336,-0.5853403,702.2338,-0.090669006,-0.7942858,-0.5861708,-0.18668401,0.015384589,-0.16716507
Ws,W,20191002_152531341276_519,20190304,0.2807,0.3536,0.3896,0.203,0.1594,0.0475,0.0502,0.0442,0.0438,0.0415,0.045,0.0386,-0.6423948,699.4514,-0.12925398,-0.79621947,-0.6450567,-0.2308276,-0.008968635,-0.2136706
Ws,W,20191003_102129938476_722,20190304,0.2556,0.342,0.3654,0.1654,0.1188,0.0423,0.0445,0.0393,0.0414,0.039,0.0385,0.0349,-0.6160235,701.991,-0.102369696,-0.8057821,-0.59961313,-0.2033,0.01028276,-0.17825842
Ws,W,20191003_102129938476_722,20190304,0.2633,0.3254,0.3506,0.1554,0.1113,0.0397,0.0415,0.0356,0.0379,0.0385,0.0365,0.0321,-0.62722516,702.02155,-0.09756569,-0.81563956,-0.6078634,-0.19514719,-0.012482668,-0.17721893
Ws,W,20191003_102129938476_722,20190304,0.2696,0.3222,0.3522,0.1522,0.1099,0.0368,0.04,0.0321,0.0362,0.0381,0.0343,0.0311,-0.6516549,701.7076,-0.0980527,-0.832943,-0.6157112,-0.1973,-0.03313253,-0.17808422
Ws,W,20191002_152510014693_390,20190304,0.2498,0.3024,0.345,0.167,0.1328,0.0471,0.0478,0.0413,0.0435,0.0431,0.0445,0.0393,-0.60345656,700.05835,-0.1027925,-0.78617656,-0.5866983,-0.194408,-0.03729606,-0.19416125
Ws,W,20191002_152800402755_842,20190304,0.2648,0.3276,0.3508,0.1528,0.1103,0.0379,0.0408,0.0363,0.0371,0.0378,0.0358,0.0323,-0.6160761,701.81177,-0.09462099,-0.81245154,-0.609268,-0.19292799,0.0069348267,-0.17172757
